Назва товару,Ціна,Стан,Дата публікації,Місто,Район,Координати на карті,Продавець,Магазин,Посилання на оголошення
Велосипед алюм гревел Crosser Gravel NORD 28 Trek GT гравел циклокросс,8 990 грн.,Новый,2021-06-02,Днепр,Центральный,"48.463, 35.02387",Велобокс,ВЕЛОБОКС,https://www.olx.ua/d/obyavlenie/velosiped-alyum-grevel-crosser-gravel-nord-28-trek-gt-gravel-tsiklokross-IDLNTAv.html
"Велосіпед алюм гревел Crosser Gravel NORD 28"" Trek GT гравел гревэл",8 990 грн.,Новый,2021-06-02,Львов,Лычаковский,"49.848, 24.068",Велобокс,ВЕЛОБОКС,https://www.olx.ua/d/obyavlenie/velosped-alyum-grevel-crosser-gravel-nord-28-trek-gt-gravel-grevel-IDLNUlV.html
"Велосипед гревел алюминий Crosser Gravel NORD 28"" Giant гравел гревэл",8 990 грн.,Новый,2022-05-30,Одесса,Приморский,"46.467, 30.745",Мишка,,https://www.olx.ua/d/obyavlenie/velosiped-grevel-alyuminiy-crosser-gravel-nord-28-giant-gravel-grevel-IDOKruF.html
Туринг Bulls Daily гравел циклокрос из Германии (как новый),20 967 грн.,Б/у,2021-12-19,Ирпень,,"50.51752, 30.2593",Артём,,https://www.olx.ua/d/obyavlenie/turing-bulls-daily-gravel-tsiklokros-iz-germanii-kak-novyy-IDNFHWW.html
Туринг гравийный велосипед KTM Strada Glorious гравел из Германии,25 200 грн.,Б/у,2022-05-24,Ирпень,,"50.51752, 30.2593",Артём,,https://www.olx.ua/d/obyavlenie/turing-graviynyy-velosiped-ktm-strada-glorious-gravel-iz-germanii-IDOHkul.html
Велосипед Gravel Cube Nuroad Pro 56 на осях rondo cannondale merida,28 700 грн.,Б/у,2022-05-31,Запорожье,Хортицкий,"47.815, 35.052",Александр,веломагазин ВеЛас,https://www.olx.ua/d/obyavlenie/velosiped-gravel-cube-nuroad-pro-56-na-osyah-rondo-cannondale-merida-IDOL4YB.html
Велосипед Romet Mistral Claris touring gravel Shimano,9 000 грн.,Б/у,2022-03-28,Киев,Днепровский,"50.45964, 30.61717",Алексей,,https://www.olx.ua/d/obyavlenie/velosiped-romet-mistral-claris-touring-gravel-shimano-IDOkFmw.html
Crosser Gravel 28 -  алюминиевый велосипед NORD/ROAD/XC-300 (гравел),9 150 грн.,Новый,2022-05-28,Киев,Дарницкий,"50.40931, 30.69263",Вело-Хата,Velo-Hata.com  Веломагазин,https://www.olx.ua/d/obyavlenie/crosser-gravel-28-alyuminievyy-velosiped-nord-road-xc-300-gravel-IDOJ6Xh.html
"Велосипед гравел Crosser NORD 28 | LTWOO R2, 2*7S",9 250 грн.,Новый,2022-04-30,Киев,Шевченковский,"50.47135, 30.4624",Дмитрий,Velo-life,https://www.olx.ua/d/obyavlenie/velosiped-gravel-crosser-nord-28-ltwoo-r2-27s-IDOwJwu.html
"Гравел,шоссейный,фикс,гравийный велосипед Crosser Nord 28"" (Новые!)",9 300 грн.,Новый,2021-06-30,Киев,Голосеевский,"50.35684, 30.51985",Данил,,https://www.olx.ua/d/obyavlenie/gravel-shosseynyy-fiks-graviynyy-velosiped-crosser-nord-28-novye-IDM3Klu.html
"Гравийный велосипед Crosser Nord 28"" (Новые!) гравел,шоссейный,фикс",9 300 грн.,Новый,2021-06-30,Харьков,Индустриальный ,"49.933, 36.401",Данил,,https://www.olx.ua/d/obyavlenie/graviynyy-velosiped-crosser-nord-28-novye-gravel-shosseynyy-fiks-IDM3NaJ.html
"Гравийный велосипед Crosser Nord 28"" (Новые!) гравел,шоссейный,фикс.",9 300 грн.,Новый,2021-07-08,Одесса,Киевский,"46.38471, 30.70913",Данил,,https://www.olx.ua/d/obyavlenie/graviynyy-velosiped-crosser-nord-28-novye-gravel-shosseynyy-fiks-IDM8969.html
"Велосипеды Гравел Crosser Nord 28"" шоссейный,фикс,гравийный (Новые!)",9 300 грн.,Новый,2021-07-08,Львов,Галицкий,"49.83524, 24.03517",Данил,,https://www.olx.ua/d/obyavlenie/velosipedy-gravel-crosser-nord-28-shosseynyy-fiks-graviynyy-novye-IDM89hY.html
